city_id,city,latitude,longitude,weather,temperature,humidity,pressure,wind_speed,cloudiness,country
0,monte alegre,-1.9989108,-54.0727694,Clouds,74.34,93,1009,1.05,95,BR
1,san cristobal,7.7756663,-72.2214154,Clouds,75.07,95,1014,3.06,69,VE
2,port elizabeth,-33.9617051,25.6207519,Clear,68.11,88,1015,11.5,0,ZA
3,ostrovnoy,68.0544447,39.5129384,Clouds,24.48,93,988,13.02,100,RU
4,mount gambier,-37.8246698,140.7820067624113,Clouds,71.22,55,1008,8.1,16,AU
5,dikson,73.5083894,80.5123816,Clouds,-14.28,99,1030,8.25,100,RU
6,cape town,-33.928992,18.417396,Clear,67.78,70,1009,17.27,0,ZA
7,punta arenas,-53.1625688,-70.907822,Rain,57.49,51,984,36.82,40,CL
8,butaritari,2.9205375,172.91886331442205,Clouds,82.04,74,1010,14.32,72,KI
9,azul,-36.777492,-59.863442,Clouds,61.23,97,1008,3.24,100,AR
10,belmonte,39.5592831,-2.7038117,Clouds,47.53,45,1023,5.44,100,ES
11,lagoa,37.13258125,-8.45505094811731,Clouds,60.67,93,1023,10.85,100,PT
12,wagga wagga,-35.115,147.3677778,Clear,77.13,65,1006,5.01,3,AU
13,praia da vitoria,38.739237599999996,-27.156264396780458,Clouds,50.72,71,1024,9.91,20,PT
14,labuhan,-6.891973,112.9897177,Clouds,79.02,85,1010,16.8,100,ID
15,sataua,-13.5175919,-172.6929859,Clouds,81.01,75,1011,2.44,100,WS
16,pyu,18.483333,96.433333,Clouds,60.01,66,1015,5.37,16,MM
17,clarence town,23.0917159,-74.960639,Clear,78.31,73,1019,13.51,3,BS
18,lockport,43.1687104,-78.696567,Clouds,37.92,92,1015,1.01,100,US
19,wajir,1.7504651,40.0594959,Clouds,77.9,63,1012,13.98,34,KE
20,santa isabel do rio negro,-0.4160389,-65.0153096,Clouds,73.94,97,1010,0.43,87,BR
21,bredasdorp,-34.533055,20.042778,Clouds,66.81,88,1014,12.24,19,ZA
22,ust-kuyga,70.00177,135.549835,Clouds,-22.54,97,1019,4.85,100,RU
23,albany,42.6511674,-73.754968,Clouds,39.13,82,1014,3.44,75,US
24,caravelas,-17.7296514,-39.2660082,Clear,75.25,86,1015,6.31,6,BR
25,ushuaia,-54.806115899999995,-68.3184972880496,Clouds,55.09,50,978,12.66,40,AR
26,jamestown,-15.9277296,-5.7160872,Clouds,70.41,75,1016,12.91,21,SH
27,sajanan,37.0576522,9.2398493,Clouds,54.52,37,1027,8.61,29,TN
28,puerto ayora,-0.7471674,-90.3134198,Clouds,76.19,91,1011,3.0,35,EC
29,arys,42.4324695,68.8134889,Clouds,29.12,89,1032,4.07,100,KZ
30,iqaluit,63.74944,-68.521857,Clear,-13.09,69,1009,0.0,0,CA
31,madimba,-4.31309405,15.312465272784873,Rain,73.51,91,1012,1.05,100,CD
32,hermanus,-34.4175,19.2361111,Clouds,70.84,83,1013,16.73,14,ZA
33,cabo san lucas,22.8938884,-109.9200604,Clouds,79.99,69,1014,14.43,49,MX
34,kawalu,-1.9593,123.8495,Clouds,83.41,71,1009,7.18,100,ID
35,marsh harbour,26.5382728,-77.0610382,Clouds,76.19,77,1020,5.73,45,BS
36,vidim,50.4678504,14.5258244,Clouds,45.37,98,1022,4.72,97,CZ
37,pleasanton,37.6624312,-121.8746789,Clear,59.22,48,1006,10.36,0,US
38,hobart,-42.8825088,147.3281233,Clear,72.39,72,1000,5.75,0,AU
39,kefamenanu,-9.4466443,124.478044,Clouds,74.21,91,1008,7.52,100,ID
40,cidreira,-30.1657063,-50.218331,Clear,73.49,91,1010,21.68,6,BR
41,aklavik,68.2182579,-135.013585,Clouds,-12.21,99,1004,6.96,87,CA
42,xuddur,4.1237042,43.8915563,Clouds,73.74,73,1014,14.76,34,SO
43,busselton,-33.644499,115.3488754,Clear,58.15,69,1018,14.58,0,AU
44,samarai,-10.6106054,150.6619362,Clouds,83.07,73,1009,7.45,100,PG
45,nenjiang,49.1734835,125.231228,Clear,-17.36,90,1028,1.19,10,CN
46,tabuk,28.4012536,36.567049,Clouds,55.45,71,1021,10.36,75,SA
47,rikitea,-23.1229544,-134.9680141,Rain,77.02,76,1016,12.12,100,PF
48,shitanjing,39.245449,106.3375144,Clouds,15.39,58,1039,1.43,18,CN
49,puteyets,65.171036,57.079735,Snow,-2.47,97,1002,11.07,100,RU
50,tiksi,71.636604,128.868546,Clouds,-33.81,100,1022,5.75,90,RU
51,dingle,11.0000758,122.6717839,Clouds,74.68,93,1012,6.89,100,PH
52,qaanaaq,77.4686357,-69.2222746,Clouds,-2.24,59,1004,4.25,87,GL
53,gouyave,12.1665178,-61.7297144,Clouds,75.97,88,1012,8.05,75,GD
54,isangel,-19.5410863,169.2810885,Clouds,83.43,84,1003,11.5,75,VU
55,flinders,-20.862898,144.2526073309786,Clouds,82.49,59,1008,13.8,98,AU
56,arlit,18.739079,7.393331,Clear,58.95,24,1020,6.98,0,NE
57,east london,-33.0191604,27.8998573,Clouds,68.16,85,1015,11.03,13,ZA
58,oreanda,44.4603,34.13692,Clouds,49.73,69,1031,7.78,39,UA
59,inhambane,-23.865961,35.384363,Rain,74.12,86,1014,6.98,90,MZ
60,hithadhoo,1.7959425,73.38755195657038,Clouds,81.14,72,1012,17.43,51,MV
61,saint-philippe,45.3584499,-73.4790045,Clouds,36.52,93,1013,10.36,100,CA
62,moryakovskiy zaton,56.696075,84.653976,Clouds,13.68,94,1032,7.18,100,RU
63,chokurdakh,70.6193824,147.902397,Clouds,-20.87,98,1015,4.18,99,RU
64,port macquarie,-31.4299499,152.9103525,Clouds,77.85,57,1014,4.94,27,AU
65,dehloran,32.6914932,47.2674712,Clear,54.55,34,1025,4.94,3,IR
66,tuktoyaktuk,69.4440189,-133.031904,Snow,-2.2,78,1007,13.8,100,CA
67,brisbane,-27.4689682,153.0234991,Clouds,76.96,66,1013,9.22,75,AU
68,coquimbo,-29.9531928,-71.3379884,Clear,71.47,64,1016,12.66,0,CL
69,kavieng,-2.573474,150.795224,Clouds,83.71,69,1010,2.73,79,PG
70,husavik,66.0433168,-17.3410402,Clouds,19.44,78,995,16.75,60,IS
71,saskylakh,71.9649533,114.0939433,Clouds,-10.14,100,1021,4.03,100,RU
72,dalbandin,28.8963483,64.4097124,Clear,45.9,36,1026,5.66,1,PK
73,petropavlovsk-kamchatskiy,53.0199838,158.6471356,Snow,15.91,95,999,5.3,100,RU
74,grindavik,63.844239,-22.4317498,Snow,30.52,93,992,19.57,75,IS
75,fairbanks,64.837845,-147.716675,Clouds,13.77,84,976,0.0,20,US
76,kirensk,57.776356,108.116295,Clouds,-35.99,100,1049,2.28,50,RU
77,kapaa,22.0747334,-159.3191601,Clouds,79.48,66,1018,3.0,30,US
78,camacupa,-12.0203585,17.4763605,Rain,60.93,97,1013,1.66,100,AO
79,barrow,71.2905556,-156.788611,Clouds,6.82,78,1002,11.5,100,US
80,bandarbeyla,9.4952646,50.8127815,Rain,77.09,77,1016,18.75,73,SO
81,ancud,-41.8682162,-73.8287225,Clouds,56.48,69,1022,10.69,59,CL
82,tasiilaq,65.6152573,-37.6378149,Clear,-11.47,48,990,7.23,0,GL
83,te anau,-45.41449,167.717489,Clouds,69.6,57,1022,1.28,51,NZ
84,nikolskoye,59.7034799,30.7861084,Clear,28.29,80,1006,12.21,6,RU
85,rocha,-34.4810095,-54.3365608,Clouds,77.92,52,1005,16.06,100,UY
86,tevriz,57.513668,72.398911,Clouds,-10.98,98,1030,3.36,100,RU
87,kamenskoye,53.1793307,37.7767378,Clouds,39.85,98,1010,20.22,100,RU
88,komsomolskiy,43.98266,46.6950001,Clouds,44.44,67,1029,8.32,98,RU
89,illoqqortoormiut,70.4850588,-21.9641992,Clouds,12.27,67,989,8.79,100,GL
90,sitka,57.0524973,-135.337612,Rain,44.42,70,989,27.63,100,US
91,leningradskiy,54.129108,79.236702,Clouds,-6.59,99,1034,6.67,73,RU
92,birjand,32.8633961,59.2177294,Clear,28.76,50,1028,4.61,0,IR
93,tura,47.3900474,0.6889268,Clouds,58.28,75,1013,11.5,100,FR
94,laguna,-28.4837443,-48.7816572,Clear,75.09,90,1012,17.56,8,BR
95,port-de-bouc,43.403098,4.9806998,Clear,55.44,78,1027,9.22,0,FR
96,geraldton,-28.77035,114.6147159,Clear,62.76,82,1008,11.5,0,AU
97,iaciara,-14.1014906,-46.6343388,Clouds,73.51,81,1011,1.92,66,BR
